,subpattern_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
subpattern_code,1.0,0.1379158762744486,0.448672792025535,-0.19584881483816888,-0.03908435012536747,0.46847143393583796,0.1237245691051846,0.14314412133649182,-0.19584881483816888,0.448672792025535,0.11047259932847107,0.1257209083118031
a,0.1379158762744486,1.0,0.15588028839809653,-0.5660501326739295,-0.37318954424596656,0.11083349489430036,0.5404177588208225,0.9075764478685353,-0.5660501326739295,0.15588028839809653,0.5902204462996672,0.9724494436590739
b,0.448672792025535,0.15588028839809653,1.0,-0.4964307011545674,-0.3478291204125313,0.757467401517675,0.15180318761329625,0.10372582658176331,-0.4964307011545674,1.0,0.17137333163443255,0.1286654946213738
c,-0.19584881483816888,-0.5660501326739295,-0.4964307011545674,1.0,0.6391114494227111,-0.3515298338192806,-0.3351001894096751,-0.49328793023020523,1.0,-0.4964307011545673,-0.36937295937411785,-0.5402674487828895
car_mode,-0.03908435012536747,-0.37318954424596656,-0.3478291204125313,0.6391114494227111,1.0,0.05698800592234872,-0.11243157745067531,-0.21346837156780565,0.6391114494227111,-0.34782912041253133,-0.22125753683122718,-0.36262108165406837
transit_mode,0.46847143393583796,0.11083349489430036,0.757467401517675,-0.3515298338192806,0.05698800592234872,1.0,0.2590878210552732,0.17582749823120328,-0.3515298338192806,0.757467401517675,0.17539278410506023,0.07602113533779037
bicycle_mode,0.1237245691051846,0.5404177588208225,0.15180318761329625,-0.3351001894096751,-0.11243157745067531,0.2590878210552732,1.0,0.45298044709967844,-0.3351001894096752,0.15180318761329625,0.9281177826938035,0.34961911654629385
walked_mode,0.14314412133649182,0.9075764478685353,0.10372582658176331,-0.49328793023020523,-0.21346837156780565,0.17582749823120328,0.45298044709967844,1.0,-0.49328793023020523,0.10372582658176328,0.4091223881023632,0.9191164468967464
car_share,-0.19584881483816888,-0.5660501326739295,-0.4964307011545674,1.0,0.6391114494227111,-0.3515298338192806,-0.3351001894096752,-0.49328793023020523,1.0,-0.4964307011545673,-0.36937295937411785,-0.5402674487828895
transit_share,0.448672792025535,0.15588028839809653,1.0,-0.4964307011545673,-0.34782912041253133,0.757467401517675,0.15180318761329625,0.10372582658176328,-0.4964307011545673,1.0,0.17137333163443255,0.1286654946213738
bicycle_share,0.11047259932847107,0.5902204462996672,0.17137333163443255,-0.36937295937411785,-0.22125753683122718,0.17539278410506023,0.9281177826938035,0.4091223881023632,-0.36937295937411785,0.17137333163443255,1.0,0.38578020682475395
walked_share,0.1257209083118031,0.9724494436590739,0.1286654946213738,-0.5402674487828895,-0.36262108165406837,0.07602113533779037,0.34961911654629385,0.9191164468967464,-0.5402674487828895,0.1286654946213738,0.38578020682475395,1.0
